#Year,Rx2day [in]
1895,2.2007874015748037
1896,2.677165354330709
1897,5.889763779527559
1898,2.5787401574803153
1899,2.6102362204724416
1900,3.5000000000000004
1901,3.62992125984252
1902,2.6535433070866143
1903,3.2992125984251977
1904,4.948818897637795
1905,3.8503937007874023
1906,3.2007874015748037
1907,3.799212598425197
1908,4.200787401574804
1909,2.850393700787402
1910,8.01968503937008
1911,3.519685039370079
1912,2.598425196850394
1913,7.67716535433071
1914,2.5
1915,2.4015748031496065
1916,4.799212598425197
1917,3.818897637795276
1918,3.2283464566929134
1919,3.712598425196851
1920,3.3818897637795278
1921,3.000000000000001
1922,3.7322834645669296
1923,2.5196850393700787
1924,2.15748031496063
1925,5.220472440944882
1926,2.5511811023622055
1927,3.75984251968504
1928,3.842519685039371
1929,2.7834645669291342
1930,2.858267716535433
1931,3.6023622047244097
1932,4.000000000000001
1933,2.622047244094489
1934,3.0000000000000004
1935,3.2007874015748037
1936,4.000000000000001
1937,4.0826771653543314
1938,2.5196850393700787
1939,3.7086614173228356
1940,2.590551181102363
1941,3.460629921259843
1942,3.0000000000000004
1943,2.708661417322835
1944,3.4803149606299217
1945,4.933070866141732
1946,2.0196850393700787
1947,3.909448818897638
1948,2.807086614173229
1949,4.88976377952756
1950,4.122047244094489
1951,2.0629921259842523
1952,3.460629921259843
1953,2.5196850393700787
1954,2.070866141732284
1955,3.5000000000000004
1957,3.1614173228346463
1958,2.507874015748032
1959,3.0000000000000004
1960,5.149606299212599
1961,4.980314960629921
1962,4.771653543307087
1963,2.3385826771653546
1964,4.539370078740158
1965,2.4212598425196856
1966,2.8897637795275593
1967,3.5905511811023625
1968,2.7519685039370083
1969,3.5000000000000004
1970,2.1968503937007875
1971,3.0511811023622055
1972,2.850393700787402
1973,2.830708661417323
1974,3.2992125984251977
1975,3.1496062992125986
1976,1.6614173228346458
1977,3.0000000000000004
1978,2.649606299212599
1979,5.720472440944882
1980,2.3228346456692917
1981,3.7716535433070866
1982,2.5196850393700787
1983,3.9803149606299213
1984,2.5787401574803153
1985,4.472440944881891
1986,2.8425196850393704
1987,2.303149606299213
1988,3.0118110236220472
1989,3.181102362204725
1990,3.397637795275591
1991,2.25984251968504
1992,1.799212598425197
1993,4.200787401574804
1994,2.649606299212599
1995,3.6732283464566935
1996,4.000000000000001
1997,2.0314960629921264
1998,3.8070866141732287
1999,2.7519685039370083
2000,4.598425196850394
2001,4.519685039370079
2002,3.696850393700788
2003,3.610236220472441
2004,4.34251968503937
2005,3.8385826771653546
2006,3.7795275590551185
2007,2.4606299212598426
2008,3.830708661417323
2009,3.519685039370079
2010,3.507874015748032
2011,2.921259842519685
2012,1.8700787401574808
2013,4.767716535433071
2014,3.661417322834646
2015,3.4212598425196856
2016,3.8503937007874023
2017,2.5708661417322842
2018,5.137795275590552
2019,3.7401574803149615
2020,3.5787401574803153
2021,6.098425196850394
2022,2.409448818897638
